"Variable","N","Mean","SD","N","Mean","SD"
"TFIDF_top","452","0.003","0.013","3548","0.003","0.011"
"TFIDF_normal","452","0.001","0.01","3548","0.001","0.007"
"TFIDF_read","452","0.002","0.011","3548","0.003","0.012"
"TFIDF_reason","452","0.001","0.008","3548","0.002","0.013"
"TFIDF_easier","452","0.001","0.007","3548","0.001","0.008"
"TFIDF_pick","452","0","0.003","3548","0.001","0.01"
"TFIDF_instead","452","0.001","0.006","3548","0.001","0.007"
"TFIDF_scroll","452","0.001","0.008","3548","0.002","0.014"
"TFIDF_consid","452","0.002","0.008","3548","0.002","0.01"
"TFIDF_featur","452","0.002","0.008","3548","0.002","0.01"
"TFIDF_stop","452","0","0","3548","0.001","0.005"
"TFIDF_shop","452","0.001","0.015","3548","0.001","0.01"
"TFIDF_drop","452","0.002","0.019","3548","0.001","0.009"
"TFIDF_intuit","452","0.001","0.013","3548","0.001","0.01"
"TFIDF_person","452","0.002","0.012","3548","0.002","0.009"
"TFIDF_dont","452","0.003","0.009","3548","0.004","0.01"
"TFIDF_inform","452","0.002","0.008","3548","0.003","0.012"
"TFIDF_form","452","0.006","0.02","3548","0.005","0.018"
"TFIDF_decid","452","0.001","0.007","3548","0.001","0.008"
"TFIDF_field","452","0.003","0.016","3548","0.005","0.019"
"TFIDF_plu","452","0","0.001","3548","0","0.004"
"TFIDF_cancel","452","0.003","0.023","3548","0.001","0.011"
"TFIDF_suggest","452","0.003","0.011","3548","0.003","0.012"
"TFIDF_action","452","0.003","0.013","3548","0.003","0.014"
"TFIDF_fill","452","0.001","0.007","3548","0.001","0.009"
"TFIDF_button","452","0.008","0.021","3548","0.007","0.021"
"TFIDF_appropri","452","0.001","0.007","3548","0.001","0.01"
"TFIDF_accept","452","0.001","0.007","3548","0.001","0.008"
"TFIDF_mayb","452","0.001","0.009","3548","0.001","0.006"
"TFIDF_feel","452","0.002","0.009","3548","0.002","0.009"
"TFIDF_usabl","452","0.004","0.02","3548","0.004","0.016"
"TFIDF_time","452","0.004","0.014","3548","0.004","0.011"
"TFIDF_found","452","0.002","0.01","3548","0.002","0.008"
"TFIDF_topic","452","0.001","0.009","3548","0.001","0.014"
"TFIDF_map","452","0.001","0.005","3548","0.002","0.016"
"TFIDF_solv","452","0.001","0.005","3548","0.001","0.005"
"TFIDF_share","452","0.002","0.017","3548","0.002","0.015"
"TFIDF_increas","452","0","0.004","3548","0.001","0.007"
"TFIDF_search","452","0.003","0.017","3548","0.005","0.021"
"TFIDF_common","452","0.001","0.008","3548","0.002","0.011"
"TFIDF_start","452","0.003","0.013","3548","0.002","0.01"
"TFIDF_ad","452","0.002","0.007","3548","0.001","0.007"
"TFIDF_tag","452","0.001","0.012","3548","0.002","0.018"
"TFIDF_categori","452","0.003","0.019","3548","0.002","0.013"
"TFIDF_filter","452","0.003","0.02","3548","0.001","0.012"
"TFIDF_visual","452","0.002","0.012","3548","0.002","0.009"
"TFIDF_collect","452","0.001","0.005","3548","0.001","0.007"
"TFIDF_addit","452","0.001","0.008","3548","0.001","0.01"
"TFIDF_primari","452","0.001","0.007","3548","0.001","0.01"
"TFIDF_term","452","0.002","0.01","3548","0.002","0.012"
"TFIDF_associ","452","0","0.005","3548","0.001","0.006"
"TFIDF_littl","452","0.001","0.007","3548","0.001","0.008"
"TFIDF_consist","452","0.001","0.006","3548","0.001","0.007"
"TFIDF_come","452","0.001","0.007","3548","0.001","0.007"
"TFIDF_place","452","0.002","0.012","3548","0.001","0.007"
"TFIDF_comment","452","0.004","0.032","3548","0.002","0.017"
"TFIDF_default","452","0.001","0.006","3548","0.002","0.012"
"TFIDF_probabl","452","0.001","0.005","3548","0.001","0.007"
"TFIDF_fit","452","0.001","0.005","3548","0.001","0.007"
"TFIDF_store","452","0.001","0.009","3548","0.001","0.007"
"TFIDF_your","452","0","0.002","3548","0.001","0.009"
"TFIDF_request","452","0.001","0.01","3548","0.001","0.008"
"TFIDF_app","452","0.006","0.02","3548","0.004","0.015"
"TFIDF_cant","452","0.002","0.009","3548","0.002","0.009"
"TFIDF_struggl","452","0","0.004","3548","0","0.004"
"TFIDF_abil","452","0","0.003","3548","0.001","0.005"
"TFIDF_password","452","0.002","0.015","3548","0.002","0.016"
"TFIDF_whatev","452","0","0.003","3548","0","0.004"
"TFIDF_easili","452","0.001","0.006","3548","0.001","0.006"
"TFIDF_email","452","0.003","0.018","3548","0.003","0.018"
"TFIDF_assum","452","0.001","0.005","3548","0.001","0.008"
"TFIDF_physic","452","0","0.003","3548","0.001","0.007"
"TFIDF_access","452","0.001","0.006","3548","0.001","0.01"
"TFIDF_secur","452","0","0.006","3548","0.001","0.006"
"TFIDF_total","452","0.001","0.007","3548","0.001","0.005"
"TFIDF_websit","452","0.004","0.014","3548","0.005","0.016"
"TFIDF_page","452","0.008","0.021","3548","0.007","0.019"
"TFIDF_content","452","0.002","0.011","3548","0.003","0.014"
"TFIDF_principl","452","0.001","0.012","3548","0.001","0.007"
"TFIDF_guid","452","0.001","0.014","3548","0.001","0.007"
"TFIDF_decis","452","0","0.002","3548","0.001","0.006"
"TFIDF_situat","452","0.001","0.004","3548","0.001","0.006"
"TFIDF_stai","452","0","0.004","3548","0","0.005"
"TFIDF_main","452","0.002","0.01","3548","0.002","0.009"
"TFIDF_remain","452","0.001","0.005","3548","0","0.005"
"TFIDF_posit","452","0.002","0.009","3548","0.001","0.009"
"TFIDF_rel","452","0","0","3548","0.001","0.007"
"TFIDF_hold","452","0","0.004","3548","0","0.005"
"TFIDF_mous","452","0.001","0.009","3548","0.001","0.009"
"TFIDF_bar","452","0.003","0.017","3548","0.002","0.014"
"TFIDF_major","452","0","0.004","3548","0.001","0.006"
"TFIDF_expect","452","0.002","0.019","3548","0.001","0.007"
"TFIDF_width","452","0.001","0.008","3548","0.001","0.008"
"TFIDF_middl","452","0.001","0.007","3548","0","0.005"
"TFIDF_view","452","0.005","0.019","3548","0.003","0.012"
"TFIDF_brows","452","0.001","0.01","3548","0.001","0.007"
"TFIDF_nice","452","0.001","0.005","3548","0.001","0.008"
"TFIDF_requir","452","0.003","0.011","3548","0.003","0.011"
"TFIDF_entir","452","0","0.004","3548","0.001","0.005"
"TFIDF_left","452","0.003","0.016","3548","0.002","0.011"
"TFIDF_hand","452","0.001","0.006","3548","0.001","0.008"
"TFIDF_header","452","0.001","0.011","3548","0.002","0.015"
"TFIDF_reduc","452","0","0.005","3548","0.001","0.007"
"TFIDF_vertic","452","0.002","0.015","3548","0.001","0.01"
"TFIDF_height","452","0","0.003","3548","0","0.006"
"TFIDF_insid","452","0.001","0.005","3548","0.001","0.007"
"TFIDF_differ","452","0.002","0.014","3548","0.001","0.009"
"TFIDF_compani","452","0.001","0.011","3548","0.002","0.011"
"TFIDF_googl","452","0.002","0.011","3548","0.002","0.013"
"TFIDF_code","452","0.002","0.009","3548","0.002","0.011"
"TFIDF_dynam","452","0","0.003","3548","0.001","0.006"
"TFIDF_gener","452","0.001","0.007","3548","0.001","0.008"
"TFIDF_appreci","452","0.001","0.009","3548","0.001","0.006"
"TFIDF_help","452","0.003","0.019","3548","0.002","0.011"
"TFIDF_especi","452","0.001","0.005","3548","0.001","0.007"
"TFIDF_data","452","0.005","0.018","3548","0.004","0.013"
"TFIDF_studi","452","0.002","0.014","3548","0.002","0.013"
"TFIDF_solut","452","0.002","0.01","3548","0.002","0.01"
"TFIDF_research","452","0.002","0.008","3548","0.002","0.012"
"TFIDF_sign","452","0.002","0.014","3548","0.002","0.016"
"TFIDF_recommend","452","0.002","0.019","3548","0.002","0.014"
"TFIDF_imag","452","0.004","0.021","3548","0.003","0.015"
"TFIDF_standard","452","0.003","0.014","3548","0.002","0.012"
"TFIDF_lot","452","0.001","0.006","3548","0.002","0.009"
"TFIDF_test","452","0.002","0.013","3548","0.003","0.017"
"TFIDF_do","452","0.001","0.008","3548","0.002","0.009"
"TFIDF_pictur","452","0.001","0.008","3548","0.001","0.009"
"TFIDF_disabl","452","0","0.004","3548","0.001","0.01"
"TFIDF_specif","452","0.002","0.01","3548","0.002","0.012"
"TFIDF_ill","452","0","0.003","3548","0.001","0.005"
"TFIDF_didnt","452","0.001","0.005","3548","0.001","0.005"
"TFIDF_html","452","0.002","0.017","3548","0.001","0.01"
"TFIDF_iv","452","0.002","0.009","3548","0.004","0.011"
"TFIDF_includ","452","0.001","0.007","3548","0.002","0.009"
"TFIDF_real","452","0.002","0.009","3548","0.001","0.007"
"TFIDF_size","452","0.002","0.013","3548","0.002","0.014"
"TFIDF_version","452","0.002","0.01","3548","0.002","0.013"
"TFIDF_item","452","0.004","0.019","3548","0.004","0.019"
"TFIDF_complet","452","0.001","0.007","3548","0.002","0.01"
"TFIDF_moment","452","0.001","0.006","3548","0.001","0.006"
"TFIDF_click","452","0.004","0.014","3548","0.004","0.012"
"TFIDF_trigger","452","0","0.005","3548","0","0.005"
"TFIDF_call","452","0.002","0.012","3548","0.002","0.015"
"TFIDF_hover","452","0","0.007","3548","0.001","0.01"
"TFIDF_realiz","452","0","0.003","3548","0.001","0.006"
"TFIDF_link","452","0.004","0.015","3548","0.004","0.017"
"TFIDF_note","452","0.001","0.006","3548","0.001","0.008"
"TFIDF_bit","452","0.002","0.008","3548","0.001","0.007"
"TFIDF_origin","452","0.001","0.008","3548","0.001","0.007"
"TFIDF_possibli","452","0.001","0.006","3548","0","0.005"
"TFIDF_icon","452","0.005","0.022","3548","0.004","0.021"
"TFIDF_method","452","0.002","0.015","3548","0.002","0.01"
"TFIDF_mean","452","0.002","0.008","3548","0.002","0.009"
"TFIDF_interfac","452","0.005","0.02","3548","0.004","0.017"
"TFIDF_check","452","0.001","0.006","3548","0.001","0.011"
"TFIDF_flow","452","0","0.003","3548","0.001","0.006"
"TFIDF_wonder","452","0.003","0.013","3548","0.003","0.012"
"TFIDF_instanc","452","0.001","0.006","3548","0.001","0.008"
"TFIDF_regard","452","0","0.006","3548","0.001","0.006"
"TFIDF_process","452","0.002","0.01","3548","0.002","0.01"
"TFIDF_peopl","452","0.004","0.013","3548","0.004","0.014"
"TFIDF_agre","452","0","0.003","3548","0.001","0.007"
"TFIDF_prefer","452","0.002","0.01","3548","0.002","0.01"
"TFIDF_tip","452","0.001","0.008","3548","0.001","0.009"
"TFIDF_element","452","0.002","0.013","3548","0.003","0.014"
"TFIDF_redirect","452","0","0.002","3548","0.001","0.007"
"TFIDF_separ","452","0.001","0.007","3548","0.001","0.007"
"TFIDF_internet","452","0.001","0.007","3548","0","0.006"
"TFIDF_follow","452","0.002","0.007","3548","0.002","0.011"
"TFIDF_make","452","0.001","0.007","3548","0.002","0.009"
"TFIDF_book","452","0.002","0.013","3548","0.002","0.014"
"TFIDF_blog","452","0.001","0.014","3548","0.001","0.011"
"TFIDF_seen","452","0.001","0.007","3548","0.002","0.009"
"TFIDF_there","452","0.001","0.006","3548","0.001","0.012"
"TFIDF_resourc","452","0.001","0.012","3548","0.001","0.01"
"TFIDF_market","452","0.001","0.008","3548","0.001","0.009"
"TFIDF_etc","452","0.003","0.011","3548","0.002","0.009"
"TFIDF_registr","452","0.002","0.018","3548","0.001","0.009"
"TFIDF_idea","452","0.004","0.013","3548","0.003","0.011"
"TFIDF_subject","452","0","0.002","3548","0.001","0.008"
"TFIDF_experi","452","0.003","0.012","3548","0.004","0.013"
"TFIDF_actual","452","0.002","0.007","3548","0.002","0.009"
"TFIDF_answer","452","0.003","0.012","3548","0.002","0.01"
"TFIDF_pleas","452","0.003","0.015","3548","0.001","0.008"
"TFIDF_build","452","0.002","0.008","3548","0.002","0.01"
"TFIDF_window","452","0.004","0.02","3548","0.003","0.017"
"TFIDF_variou","452","0.001","0.006","3548","0.001","0.006"
"TFIDF_error","452","0.001","0.008","3548","0.002","0.012"
"TFIDF_fairli","452","0","0.002","3548","0.001","0.006"
"TFIDF_annoi","452","0","0.002","3548","0.001","0.006"
"TFIDF_stack","452","0.001","0.008","3548","0.001","0.006"
"TFIDF_what","452","0.001","0.01","3548","0.002","0.011"
"TFIDF_wrong","452","0","0.004","3548","0.001","0.007"
"TFIDF_happen","452","0.001","0.007","3548","0.001","0.007"
"TFIDF_pattern","452","0.002","0.014","3548","0.002","0.013"
"TFIDF_multipl","452","0.002","0.013","3548","0.002","0.009"
"TFIDF_messag","452","0.002","0.015","3548","0.003","0.016"
"TFIDF_implement","452","0.002","0.009","3548","0.002","0.009"
"TFIDF_depend","452","0.001","0.013","3548","0.001","0.007"
"TFIDF_set","452","0.003","0.013","3548","0.003","0.011"
"TFIDF_displai","452","0.004","0.013","3548","0.004","0.013"
"TFIDF_input","452","0.001","0.009","3548","0.003","0.013"
"TFIDF_previou","452","0.001","0.009","3548","0.001","0.008"
"TFIDF_support","452","0.001","0.007","3548","0.001","0.009"
"TFIDF_hide","452","0.001","0.01","3548","0.001","0.009"
"TFIDF_stuff","452","0.001","0.005","3548","0.001","0.006"
"TFIDF_menu","452","0.003","0.018","3548","0.004","0.02"
"TFIDF_navig","452","0.003","0.015","3548","0.003","0.014"
"TFIDF_screen","452","0.004","0.015","3548","0.003","0.012"
"TFIDF_type","452","0.002","0.009","3548","0.003","0.011"
"TFIDF_keyboard","452","0.001","0.01","3548","0.002","0.014"
"TFIDF_focu","452","0.001","0.014","3548","0.001","0.007"
"TFIDF_choic","452","0.001","0.011","3548","0.002","0.011"
"TFIDF_usual","452","0.001","0.008","3548","0.002","0.009"
"TFIDF_project","452","0.003","0.019","3548","0.002","0.012"
"TFIDF_suppos","452","0.001","0.011","3548","0.001","0.008"
"TFIDF_system","452","0.002","0.009","3548","0.003","0.011"
"TFIDF_track","452","0.001","0.007","3548","0.001","0.007"
"TFIDF_hierarchi","452","0","0.001","3548","0.001","0.008"
"TFIDF_defin","452","0.001","0.008","3548","0.001","0.007"
"TFIDF_believ","452","0.001","0.005","3548","0.001","0.007"
"TFIDF_think","452","0.002","0.009","3548","0.002","0.008"
"TFIDF_object","452","0.002","0.013","3548","0.001","0.011"
"TFIDF_perspect","452","0","0.005","3548","0.001","0.006"
"TFIDF_tree","452","0.001","0.007","3548","0.001","0.013"
"TFIDF_select","452","0.004","0.014","3548","0.004","0.016"
"TFIDF_exist","452","0.001","0.007","3548","0.002","0.009"
"TFIDF_creat","452","0.004","0.013","3548","0.003","0.011"
"TFIDF_copi","452","0","0.005","3548","0.001","0.007"
"TFIDF_onlin","452","0.001","0.008","3548","0.001","0.008"
"TFIDF_date","452","0.002","0.016","3548","0.002","0.014"
"TFIDF_servic","452","0.002","0.011","3548","0.002","0.011"
"TFIDF_task","452","0.001","0.009","3548","0.002","0.011"
"TFIDF_account","452","0.002","0.015","3548","0.002","0.012"
"TFIDF_interact","452","0.002","0.01","3548","0.002","0.012"
"TFIDF_databas","452","0.002","0.013","3548","0.001","0.005"
"TFIDF_enabl","452","0.001","0.006","3548","0.001","0.01"
"TFIDF_notic","452","0","0.004","3548","0.001","0.008"
"TFIDF_altern","452","0.002","0.012","3548","0.001","0.009"
"TFIDF_weve","452","0","0.004","3548","0.001","0.006"
"TFIDF_log","452","0.003","0.021","3548","0.001","0.011"
"TFIDF_immedi","452","0.001","0.007","3548","0.001","0.006"
"TFIDF_tabl","452","0.003","0.016","3548","0.002","0.014"
"TFIDF_row","452","0.004","0.019","3548","0.002","0.013"
"TFIDF_contain","452","0.002","0.008","3548","0.002","0.008"
"TFIDF_name","452","0.004","0.022","3548","0.003","0.017"
"TFIDF_indic","452","0.002","0.008","3548","0.002","0.011"
"TFIDF_piec","452","0","0.002","3548","0.001","0.005"
"TFIDF_add","452","0.004","0.018","3548","0.002","0.009"
"TFIDF_abl","452","0.001","0.006","3548","0.002","0.009"
"TFIDF_quickli","452","0","0.005","3548","0.001","0.006"
"TFIDF_determin","452","0","0.004","3548","0.001","0.007"
"TFIDF_updat","452","0.002","0.009","3548","0.002","0.01"
"TFIDF_word","452","0.001","0.008","3548","0.002","0.012"
"TFIDF_appear","452","0.002","0.007","3548","0.002","0.008"
"TFIDF_red","452","0.001","0.01","3548","0.001","0.011"
"TFIDF_green","452","0","0.004","3548","0.001","0.006"
"TFIDF_bad","452","0.001","0.01","3548","0.002","0.01"
"TFIDF_space","452","0.002","0.014","3548","0.002","0.011"
"TFIDF_context","452","0.001","0.009","3548","0.001","0.008"
"TFIDF_practic","452","0.003","0.013","3548","0.003","0.012"
"TFIDF_concern","452","0.001","0.006","3548","0.001","0.006"
"TFIDF_guidelin","452","0.001","0.011","3548","0.002","0.012"
"TFIDF_function","452","0.002","0.009","3548","0.002","0.01"
"TFIDF_allow","452","0.003","0.01","3548","0.003","0.011"
"TFIDF_languag","452","0.001","0.012","3548","0.002","0.018"
"TFIDF_screenshot","452","0.001","0.009","3548","0.001","0.008"
"TFIDF_desktop","452","0.001","0.009","3548","0.002","0.012"
"TFIDF_english","452","0.001","0.007","3548","0.001","0.008"
"TFIDF_charact","452","0.001","0.008","3548","0.001","0.017"
"TFIDF_hope","452","0.001","0.008","3548","0","0.004"
"TFIDF_con","452","0","0.004","3548","0.001","0.005"
"TFIDF_free","452","0.002","0.015","3548","0.001","0.009"
"TFIDF_record","452","0.003","0.021","3548","0.001","0.013"
"TFIDF_limit","452","0.001","0.009","3548","0.001","0.008"
"TFIDF_audienc","452","0","0.004","3548","0.001","0.007"
"TFIDF_technic","452","0.001","0.011","3548","0.001","0.006"
"TFIDF_wide","452","0.001","0.006","3548","0","0.005"
"TFIDF_connect","452","0.003","0.022","3548","0.001","0.008"
"TFIDF_articl","452","0.002","0.015","3548","0.002","0.011"
"TFIDF_tend","452","0.001","0.007","3548","0.001","0.005"
"TFIDF_softwar","452","0.001","0.008","3548","0.002","0.015"
"TFIDF_deal","452","0.001","0.01","3548","0.001","0.008"
"TFIDF_effect","452","0.001","0.008","3548","0.002","0.01"
"TFIDF_wont","452","0.001","0.005","3548","0.001","0.005"
"TFIDF_busi","452","0.002","0.011","3548","0.001","0.008"
"TFIDF_theyr","452","0","0.004","3548","0.001","0.006"
"TFIDF_purpos","452","0.001","0.005","3548","0.001","0.005"
"TFIDF_mark","452","0","0.004","3548","0.001","0.01"
"TFIDF_tell","452","0.001","0.008","3548","0.001","0.011"
"TFIDF_unless","452","0","0.004","3548","0","0.005"
"TFIDF_due","452","0.001","0.005","3548","0","0.004"
"TFIDF_format","452","0.001","0.006","3548","0.001","0.011"
"TFIDF_wouldnt","452","0","0.005","3548","0.001","0.005"
"TFIDF_sens","452","0.001","0.01","3548","0.001","0.008"
"TFIDF_doesnt","452","0.002","0.008","3548","0.002","0.008"
"TFIDF_matter","452","0.001","0.009","3548","0.001","0.007"
"TFIDF_client","452","0.002","0.012","3548","0.002","0.013"
"TFIDF_refer","452","0.001","0.007","3548","0.002","0.01"
"TFIDF_handl","452","0.001","0.005","3548","0.001","0.007"
"TFIDF_entri","452","0","0.003","3548","0.001","0.009"
"TFIDF_goe","452","0.001","0.006","3548","0.001","0.005"
"TFIDF_simpli","452","0.001","0.005","3548","0.001","0.008"
"TFIDF_that","452","0.001","0.007","3548","0.001","0.007"
"TFIDF_guess","452","0","0.003","3548","0.001","0.008"
"TFIDF_post","452","0.003","0.02","3548","0.002","0.013"
"TFIDF_detail","452","0.002","0.01","3548","0.001","0.009"
"TFIDF_rule","452","0.001","0.008","3548","0.001","0.009"
"TFIDF_own","452","0.002","0.009","3548","0.001","0.007"
"TFIDF_pretti","452","0.001","0.009","3548","0.001","0.007"
"TFIDF_job","452","0.001","0.008","3548","0.001","0.011"
"TFIDF_develop","452","0.004","0.017","3548","0.003","0.012"
"TFIDF_vari","452","0","0.001","3548","0","0.005"
"TFIDF_product","452","0.002","0.01","3548","0.003","0.015"
"TFIDF_level","452","0.002","0.01","3548","0.002","0.011"
"TFIDF_layout","452","0.003","0.012","3548","0.002","0.013"
"TFIDF_basic","452","0.002","0.01","3548","0.001","0.008"
"TFIDF_gui","452","0.003","0.016","3548","0.002","0.013"
"TFIDF_easi","452","0.001","0.006","3548","0.001","0.008"
"TFIDF_talk","452","0.001","0.011","3548","0.001","0.009"
"TFIDF_tab","452","0.004","0.028","3548","0.003","0.019"
"TFIDF_isnt","452","0.001","0.004","3548","0.001","0.007"
"TFIDF_exactli","452","0.001","0.008","3548","0.001","0.008"
"TFIDF_hidden","452","0.001","0.006","3548","0.001","0.005"
"TFIDF_advanc","452","0","0.004","3548","0.001","0.007"
"TFIDF_anywai","452","0","0.005","3548","0","0.005"
"TFIDF_touch","452","0","0.004","3548","0.001","0.012"
"TFIDF_configur","452","0.001","0.01","3548","0.001","0.009"
"TFIDF_drag","452","0","0.004","3548","0.001","0.009"
"TFIDF_empti","452","0.001","0.006","3548","0.001","0.009"
"TFIDF_column","452","0.003","0.028","3548","0.002","0.016"
"TFIDF_line","452","0.003","0.017","3548","0.001","0.009"
"TFIDF_duplic","452","0.005","0.024","3548","0.002","0.011"
"TFIDF_box","452","0.002","0.01","3548","0.003","0.014"
"TFIDF_horizont","452","0.001","0.011","3548","0.001","0.012"
"TFIDF_coupl","452","0","0.004","3548","0.001","0.005"
"TFIDF_dai","452","0.001","0.01","3548","0.002","0.011"
"TFIDF_modal","452","0.001","0.007","3548","0.001","0.011"
"TFIDF_obvious","452","0.001","0.005","3548","0.001","0.005"
"TFIDF_rememb","452","0.001","0.01","3548","0.001","0.007"
"TFIDF_plai","452","0","0.004","3548","0.001","0.01"
"TFIDF_singl","452","0.002","0.014","3548","0.001","0.008"
"TFIDF_toggl","452","0.001","0.009","3548","0.001","0.009"
"TFIDF_press","452","0","0.003","3548","0.001","0.007"
"TFIDF_video","452","0.002","0.019","3548","0.002","0.015"
"TFIDF_argument","452","0.001","0.006","3548","0.001","0.01"
"TFIDF_oper","452","0","0.005","3548","0.001","0.009"
"TFIDF_iphon","452","0.004","0.025","3548","0.002","0.015"
"TFIDF_close","452","0.003","0.016","3548","0.002","0.011"
"TFIDF_scenario","452","0.002","0.012","3548","0.001","0.007"
"TFIDF_advantag","452","0.001","0.006","3548","0.001","0.006"
"TFIDF_social","452","0.003","0.018","3548","0.001","0.012"
"TFIDF_ideal","452","0.001","0.007","3548","0.001","0.007"
"TFIDF_pro","452","0","0.004","3548","0.001","0.007"
"TFIDF_combin","452","0.001","0.008","3548","0.001","0.006"
"TFIDF_widget","452","0.003","0.023","3548","0.001","0.013"
"TFIDF_avail","452","0.001","0.009","3548","0.002","0.009"
"TFIDF_benefit","452","0","0.004","3548","0.001","0.008"
"TFIDF_minim","452","0.001","0.012","3548","0","0.005"
"TFIDF_activ","452","0.002","0.013","3548","0.001","0.012"
"TFIDF_short","452","0.001","0.009","3548","0.001","0.007"
"TFIDF_prevent","452","0","0.003","3548","0.001","0.007"
"TFIDF_enter","452","0.003","0.015","3548","0.002","0.012"
"TFIDF_structur","452","0.001","0.011","3548","0.001","0.01"
"TFIDF_phone","452","0.002","0.013","3548","0.002","0.013"
"TFIDF_event","452","0.001","0.007","3548","0.001","0.012"
"TFIDF_reach","452","0.001","0.006","3548","0","0.005"
"TFIDF_draw","452","0.001","0.012","3548","0.001","0.009"
"TFIDF_involv","452","0","0.004","3548","0.001","0.006"
"TFIDF_amount","452","0.001","0.011","3548","0.001","0.008"
"TFIDF_troubl","452","0","0.003","3548","0","0.006"
"TFIDF_maintain","452","0","0","3548","0","0.004"
"TFIDF_choos","452","0.001","0.004","3548","0.002","0.009"
"TFIDF_tooltip","452","0.001","0.018","3548","0.001","0.008"
"TFIDF_label","452","0.002","0.013","3548","0.002","0.015"
"TFIDF_commun","452","0.001","0.007","3548","0.001","0.008"
"TFIDF_info","452","0.001","0.012","3548","0.001","0.006"
"TFIDF_lead","452","0.001","0.016","3548","0.001","0.006"
"TFIDF_background","452","0.001","0.007","3548","0.001","0.011"
"TFIDF_android","452","0.002","0.014","3548","0.002","0.014"
"TFIDF_pop","452","0.001","0.009","3548","0.001","0.008"
"TFIDF_sort","452","0.003","0.016","3548","0.002","0.011"
"TFIDF_typic","452","0.001","0.006","3548","0.001","0.006"
"TFIDF_awar","452","0.001","0.007","3548","0.001","0.007"
"TFIDF_bring","452","0","0.003","3548","0.001","0.005"
"TFIDF_replac","452","0.001","0.016","3548","0.001","0.005"
"TFIDF_consider","452","0","0.004","3548","0","0.006"
"TFIDF_arent","452","0","0.004","3548","0.001","0.006"
"TFIDF_mention","452","0.001","0.006","3548","0.001","0.007"
"TFIDF_manual","452","0.001","0.006","3548","0","0.004"
"TFIDF_mode","452","0","0.003","3548","0.001","0.009"
