Variable,N,Mean,Std. Dev.,Min,Pctl. 25,Pctl. 75,Max
TFIDF_topic,4000,0.001,0.013,0,0,0,0.434
TFIDF_map,4000,0.002,0.015,0,0,0,0.369
TFIDF_solv,4000,0.001,0.005,0,0,0,0.106
TFIDF_share,4000,0.002,0.015,0,0,0,0.559
TFIDF_increas,4000,0.001,0.007,0,0,0,0.163
TFIDF_search,4000,0.004,0.021,0,0,0,0.435
TFIDF_common,4000,0.002,0.011,0,0,0,0.344
TFIDF_start,4000,0.002,0.011,0,0,0,0.167
TFIDF_ad,4000,0.002,0.007,0,0,0,0.11
TFIDF_tag,4000,0.002,0.018,0,0,0,0.384
TFIDF_categori,4000,0.002,0.014,0,0,0,0.308
TFIDF_filter,4000,0.002,0.013,0,0,0,0.22
TFIDF_visual,4000,0.002,0.01,0,0,0,0.212
TFIDF_collect,4000,0.001,0.006,0,0,0,0.184
TFIDF_addit,4000,0.001,0.01,0,0,0,0.368
TFIDF_primari,4000,0.001,0.01,0,0,0,0.222
TFIDF_term,4000,0.002,0.011,0,0,0,0.22
TFIDF_associ,4000,0.001,0.006,0,0,0,0.109
TFIDF_littl,4000,0.001,0.008,0,0,0,0.177
TFIDF_consist,4000,0.001,0.007,0,0,0,0.149
TFIDF_come,4000,0.001,0.007,0,0,0,0.147
TFIDF_place,4000,0.001,0.008,0,0,0,0.21
TFIDF_comment,4000,0.002,0.019,0,0,0,0.588
TFIDF_default,4000,0.002,0.012,0,0,0,0.233
TFIDF_probabl,4000,0.001,0.007,0,0,0,0.152
TFIDF_fit,4000,0.001,0.007,0,0,0,0.107
TFIDF_store,4000,0.001,0.007,0,0,0,0.178
TFIDF_your,4000,0.001,0.009,0,0,0,0.373
TFIDF_request,4000,0.001,0.008,0,0,0,0.202
TFIDF_app,4000,0.004,0.016,0,0,0,0.42
TFIDF_cant,4000,0.002,0.009,0,0,0,0.134
TFIDF_struggl,4000,0,0.004,0,0,0,0.068
TFIDF_abil,4000,0.001,0.005,0,0,0,0.109
TFIDF_password,4000,0.002,0.016,0,0,0,0.31
TFIDF_whatev,4000,0,0.004,0,0,0,0.089
TFIDF_easili,4000,0.001,0.006,0,0,0,0.123
TFIDF_email,4000,0.003,0.018,0,0,0,0.431
TFIDF_assum,4000,0.001,0.008,0,0,0,0.255
TFIDF_physic,4000,0,0.006,0,0,0,0.223
TFIDF_access,4000,0.001,0.009,0,0,0,0.246
TFIDF_secur,4000,0.001,0.006,0,0,0,0.181
TFIDF_total,4000,0.001,0.005,0,0,0,0.115
TFIDF_websit,4000,0.005,0.016,0,0,0,0.267
TFIDF_page,4000,0.007,0.019,0,0,0,0.217
TFIDF_content,4000,0.003,0.014,0,0,0,0.167
TFIDF_principl,4000,0.001,0.008,0,0,0,0.25
TFIDF_guid,4000,0.001,0.008,0,0,0,0.243
TFIDF_decis,4000,0.001,0.006,0,0,0,0.106
TFIDF_situat,4000,0.001,0.006,0,0,0,0.09
TFIDF_stai,4000,0,0.005,0,0,0,0.133
TFIDF_main,4000,0.002,0.009,0,0,0,0.157
TFIDF_remain,4000,0.001,0.005,0,0,0,0.134
TFIDF_posit,4000,0.001,0.009,0,0,0,0.18
TFIDF_rel,4000,0.001,0.007,0,0,0,0.246
TFIDF_hold,4000,0,0.005,0,0,0,0.138
TFIDF_mous,4000,0.001,0.009,0,0,0,0.191
TFIDF_bar,4000,0.003,0.014,0,0,0,0.352
TFIDF_major,4000,0.001,0.006,0,0,0,0.148
TFIDF_expect,4000,0.001,0.009,0,0,0,0.382
TFIDF_width,4000,0.001,0.008,0,0,0,0.176
TFIDF_middl,4000,0,0.005,0,0,0,0.16
TFIDF_view,4000,0.003,0.013,0,0,0,0.213
TFIDF_brows,4000,0.001,0.007,0,0,0,0.205
TFIDF_nice,4000,0.001,0.007,0,0,0,0.145
TFIDF_requir,4000,0.003,0.011,0,0,0,0.155
TFIDF_entir,4000,0.001,0.005,0,0,0,0.124
TFIDF_left,4000,0.002,0.011,0,0,0,0.201
TFIDF_hand,4000,0.001,0.008,0,0,0,0.258
TFIDF_header,4000,0.002,0.015,0,0,0,0.406
TFIDF_reduc,4000,0.001,0.007,0,0,0,0.294
TFIDF_vertic,4000,0.001,0.011,0,0,0,0.263
TFIDF_height,4000,0,0.005,0,0,0,0.142
TFIDF_insid,4000,0.001,0.007,0,0,0,0.124
TFIDF_differ,4000,0.001,0.01,0,0,0,0.222
TFIDF_compani,4000,0.002,0.011,0,0,0,0.263
TFIDF_googl,4000,0.002,0.013,0,0,0,0.266
TFIDF_code,4000,0.002,0.01,0,0,0,0.215
TFIDF_dynam,4000,0.001,0.006,0,0,0,0.163
TFIDF_gener,4000,0.001,0.008,0,0,0,0.166
TFIDF_appreci,4000,0.001,0.006,0,0,0,0.08
TFIDF_help,4000,0.003,0.012,0,0,0,0.349
TFIDF_especi,4000,0.001,0.007,0,0,0,0.115
TFIDF_data,4000,0.004,0.014,0,0,0,0.146
TFIDF_studi,4000,0.002,0.013,0,0,0,0.249
TFIDF_solut,4000,0.002,0.01,0,0,0,0.186
TFIDF_research,4000,0.002,0.011,0,0,0,0.289
TFIDF_sign,4000,0.002,0.016,0,0,0,0.554
TFIDF_recommend,4000,0.002,0.014,0,0,0,0.38
TFIDF_imag,4000,0.003,0.015,0,0,0,0.295
TFIDF_standard,4000,0.002,0.012,0,0,0,0.187
TFIDF_lot,4000,0.002,0.009,0,0,0,0.186
TFIDF_test,4000,0.003,0.017,0,0,0,0.356
TFIDF_do,4000,0.001,0.009,0,0,0,0.209
TFIDF_pictur,4000,0.001,0.009,0,0,0,0.24
TFIDF_disabl,4000,0.001,0.01,0,0,0,0.273
TFIDF_specif,4000,0.002,0.011,0,0,0,0.281
TFIDF_ill,4000,0.001,0.005,0,0,0,0.115
TFIDF_didnt,4000,0.001,0.005,0,0,0,0.085
TFIDF_html,4000,0.001,0.011,0,0,0,0.269
TFIDF_iv,4000,0.004,0.011,0,0,0,0.195
TFIDF_includ,4000,0.002,0.009,0,0,0,0.272
TFIDF_real,4000,0.001,0.007,0,0,0,0.175
TFIDF_size,4000,0.002,0.013,0,0,0,0.47
TFIDF_version,4000,0.002,0.012,0,0,0,0.256
TFIDF_item,4000,0.004,0.019,0,0,0,0.263
TFIDF_complet,4000,0.002,0.01,0,0,0,0.267
TFIDF_moment,4000,0.001,0.006,0,0,0,0.143
TFIDF_click,4000,0.004,0.012,0,0,0,0.161
TFIDF_trigger,4000,0,0.005,0,0,0,0.129
TFIDF_call,4000,0.002,0.015,0,0,0,0.664
TFIDF_hover,4000,0.001,0.01,0,0,0,0.253
TFIDF_realiz,4000,0.001,0.006,0,0,0,0.161
TFIDF_link,4000,0.004,0.017,0,0,0,0.273
TFIDF_note,4000,0.001,0.008,0,0,0,0.165
TFIDF_bit,4000,0.001,0.007,0,0,0,0.114
TFIDF_origin,4000,0.001,0.007,0,0,0,0.168
TFIDF_possibli,4000,0.001,0.005,0,0,0,0.148
TFIDF_icon,4000,0.004,0.021,0,0,0,0.297
TFIDF_method,4000,0.002,0.011,0,0,0,0.212
TFIDF_mean,4000,0.002,0.009,0,0,0,0.118
TFIDF_interfac,4000,0.004,0.018,0,0,0,0.302
TFIDF_check,4000,0.001,0.011,0,0,0,0.354
TFIDF_flow,4000,0.001,0.006,0,0,0,0.141
TFIDF_wonder,4000,0.003,0.012,0,0,0,0.221
TFIDF_instanc,4000,0.001,0.007,0,0,0,0.186
TFIDF_regard,4000,0.001,0.006,0,0,0,0.115
TFIDF_process,4000,0.002,0.01,0,0,0,0.142
TFIDF_peopl,4000,0.004,0.014,0,0,0,0.203
TFIDF_agre,4000,0.001,0.007,0,0,0,0.23
TFIDF_prefer,4000,0.002,0.01,0,0,0,0.157
TFIDF_tip,4000,0.001,0.009,0,0,0,0.182
TFIDF_element,4000,0.002,0.014,0,0,0,0.255
TFIDF_redirect,4000,0,0.006,0,0,0,0.181
TFIDF_separ,4000,0.001,0.007,0,0,0,0.128
TFIDF_internet,4000,0.001,0.006,0,0,0,0.196
TFIDF_follow,4000,0.002,0.01,0,0,0,0.298
TFIDF_make,4000,0.002,0.008,0,0,0,0.192
TFIDF_book,4000,0.002,0.014,0,0,0,0.311
TFIDF_blog,4000,0.001,0.011,0,0,0,0.241
TFIDF_seen,4000,0.002,0.009,0,0,0,0.129
TFIDF_there,4000,0.001,0.011,0,0,0,0.547
TFIDF_resourc,4000,0.001,0.01,0,0,0,0.169
TFIDF_market,4000,0.001,0.009,0,0,0,0.346
TFIDF_etc,4000,0.002,0.009,0,0,0,0.121
TFIDF_registr,4000,0.001,0.01,0,0,0,0.325
TFIDF_idea,4000,0.003,0.011,0,0,0,0.191
TFIDF_subject,4000,0.001,0.007,0,0,0,0.246
TFIDF_experi,4000,0.004,0.013,0,0,0,0.252
TFIDF_actual,4000,0.002,0.008,0,0,0,0.134
TFIDF_answer,4000,0.002,0.011,0,0,0,0.175
TFIDF_pleas,4000,0.002,0.009,0,0,0,0.167
TFIDF_build,4000,0.002,0.01,0,0,0,0.185
TFIDF_window,4000,0.003,0.017,0,0,0,0.222
TFIDF_variou,4000,0.001,0.006,0,0,0,0.105
TFIDF_error,4000,0.002,0.012,0,0,0,0.233
TFIDF_fairli,4000,0.001,0.006,0,0,0,0.164
TFIDF_annoi,4000,0.001,0.006,0,0,0,0.152
TFIDF_stack,4000,0.001,0.006,0,0,0,0.134
TFIDF_what,4000,0.002,0.011,0,0,0,0.243
TFIDF_wrong,4000,0.001,0.006,0,0,0,0.121
TFIDF_happen,4000,0.001,0.007,0,0,0,0.132
TFIDF_pattern,4000,0.002,0.013,0,0,0,0.268
TFIDF_multipl,4000,0.002,0.009,0,0,0,0.186
TFIDF_messag,4000,0.003,0.015,0,0,0,0.22
TFIDF_implement,4000,0.002,0.009,0,0,0,0.125
TFIDF_depend,4000,0.001,0.008,0,0,0,0.2
TFIDF_set,4000,0.003,0.011,0,0,0,0.16
TFIDF_displai,4000,0.004,0.013,0,0,0,0.183
TFIDF_input,4000,0.002,0.012,0,0,0,0.213
TFIDF_previou,4000,0.001,0.008,0,0,0,0.191
TFIDF_support,4000,0.001,0.009,0,0,0,0.213
TFIDF_hide,4000,0.001,0.009,0,0,0,0.197
TFIDF_stuff,4000,0.001,0.006,0,0,0,0.133
TFIDF_menu,4000,0.004,0.019,0,0,0,0.345
TFIDF_navig,4000,0.003,0.014,0,0,0,0.182
TFIDF_screen,4000,0.003,0.013,0,0,0,0.142
TFIDF_type,4000,0.003,0.011,0,0,0,0.176
TFIDF_keyboard,4000,0.002,0.013,0,0,0,0.215
TFIDF_focu,4000,0.001,0.008,0,0,0,0.268
TFIDF_choic,4000,0.002,0.011,0,0,0,0.212
TFIDF_usual,4000,0.002,0.009,0,0,0,0.178
TFIDF_project,4000,0.002,0.013,0,0,0,0.212
TFIDF_suppos,4000,0.001,0.008,0,0,0,0.287
TFIDF_system,4000,0.002,0.011,0,0,0,0.14
TFIDF_track,4000,0.001,0.007,0,0,0,0.148
TFIDF_hierarchi,4000,0.001,0.007,0,0,0,0.17
TFIDF_defin,4000,0.001,0.007,0,0,0,0.124
TFIDF_believ,4000,0.001,0.007,0,0,0,0.13
TFIDF_think,4000,0.002,0.008,0,0,0,0.101
TFIDF_object,4000,0.001,0.011,0,0,0,0.301
TFIDF_perspect,4000,0.001,0.006,0,0,0,0.124
TFIDF_tree,4000,0.001,0.012,0,0,0,0.321
TFIDF_select,4000,0.004,0.015,0,0,0,0.238
TFIDF_exist,4000,0.002,0.009,0,0,0,0.132
TFIDF_creat,4000,0.003,0.011,0,0,0,0.129
TFIDF_copi,4000,0.001,0.007,0,0,0,0.205
TFIDF_onlin,4000,0.001,0.008,0,0,0,0.153
TFIDF_date,4000,0.002,0.015,0,0,0,0.284
TFIDF_servic,4000,0.002,0.011,0,0,0,0.297
TFIDF_task,4000,0.002,0.011,0,0,0,0.242
TFIDF_account,4000,0.002,0.012,0,0,0,0.211
TFIDF_interact,4000,0.002,0.011,0,0,0,0.197
TFIDF_databas,4000,0.001,0.006,0,0,0,0.224
TFIDF_enabl,4000,0.001,0.01,0,0,0,0.363
TFIDF_notic,4000,0.001,0.008,0,0,0,0.18
TFIDF_altern,4000,0.001,0.01,0,0,0,0.28
TFIDF_weve,4000,0.001,0.006,0,0,0,0.151
TFIDF_log,4000,0.001,0.013,0,0,0,0.318
TFIDF_immedi,4000,0.001,0.006,0,0,0,0.145
TFIDF_tabl,4000,0.002,0.014,0,0,0,0.229
TFIDF_row,4000,0.002,0.014,0,0,0,0.219
TFIDF_contain,4000,0.002,0.008,0,0,0,0.133
TFIDF_name,4000,0.003,0.017,0,0,0,0.28
TFIDF_indic,4000,0.002,0.011,0,0,0,0.175
TFIDF_piec,4000,0.001,0.005,0,0,0,0.102
TFIDF_add,4000,0.002,0.011,0,0,0,0.227
TFIDF_abl,4000,0.002,0.009,0,0,0,0.21
TFIDF_quickli,4000,0.001,0.006,0,0,0,0.165
TFIDF_determin,4000,0.001,0.007,0,0,0,0.184
TFIDF_updat,4000,0.002,0.01,0,0,0,0.151
TFIDF_word,4000,0.002,0.012,0,0,0,0.276
TFIDF_appear,4000,0.002,0.008,0,0,0,0.222
TFIDF_red,4000,0.001,0.011,0,0,0,0.267
TFIDF_green,4000,0.001,0.006,0,0,0,0.123
TFIDF_bad,4000,0.002,0.01,0,0,0,0.283
TFIDF_space,4000,0.002,0.012,0,0,0,0.24
TFIDF_context,4000,0.001,0.008,0,0,0,0.142
TFIDF_practic,4000,0.003,0.012,0,0,0,0.228
TFIDF_concern,4000,0.001,0.006,0,0,0,0.131
TFIDF_guidelin,4000,0.002,0.012,0,0,0,0.331
TFIDF_function,4000,0.002,0.01,0,0,0,0.143
TFIDF_allow,4000,0.003,0.011,0,0,0,0.148
TFIDF_languag,4000,0.002,0.017,0,0,0,0.328
TFIDF_screenshot,4000,0.001,0.008,0,0,0,0.197
TFIDF_desktop,4000,0.002,0.012,0,0,0,0.344
TFIDF_english,4000,0.001,0.008,0,0,0,0.158
TFIDF_charact,4000,0.001,0.017,0,0,0,0.906
TFIDF_hope,4000,0,0.005,0,0,0,0.124
TFIDF_con,4000,0.001,0.005,0,0,0,0.114
TFIDF_free,4000,0.001,0.01,0,0,0,0.392
TFIDF_record,4000,0.001,0.014,0,0,0,0.481
TFIDF_limit,4000,0.001,0.008,0,0,0,0.142
TFIDF_audienc,4000,0.001,0.007,0,0,0,0.207
TFIDF_technic,4000,0.001,0.007,0,0,0,0.187
TFIDF_wide,4000,0.001,0.005,0,0,0,0.111
TFIDF_connect,4000,0.001,0.011,0,0,0,0.366
TFIDF_articl,4000,0.002,0.012,0,0,0,0.215
TFIDF_tend,4000,0.001,0.005,0,0,0,0.111
TFIDF_softwar,4000,0.002,0.014,0,0,0,0.361
TFIDF_deal,4000,0.001,0.008,0,0,0,0.271
TFIDF_effect,4000,0.002,0.01,0,0,0,0.144
TFIDF_wont,4000,0.001,0.005,0,0,0,0.086
TFIDF_busi,4000,0.001,0.008,0,0,0,0.153
TFIDF_theyr,4000,0.001,0.006,0,0,0,0.099
TFIDF_purpos,4000,0.001,0.005,0,0,0,0.136
TFIDF_mark,4000,0.001,0.009,0,0,0,0.269
TFIDF_tell,4000,0.001,0.011,0,0,0,0.419
TFIDF_unless,4000,0,0.005,0,0,0,0.131
TFIDF_due,4000,0,0.004,0,0,0,0.074
TFIDF_format,4000,0.001,0.011,0,0,0,0.237
TFIDF_wouldnt,4000,0.001,0.005,0,0,0,0.094
TFIDF_sens,4000,0.001,0.008,0,0,0,0.149
TFIDF_doesnt,4000,0.002,0.008,0,0,0,0.146
TFIDF_matter,4000,0.001,0.007,0,0,0,0.171
TFIDF_client,4000,0.002,0.012,0,0,0,0.177
TFIDF_refer,4000,0.001,0.009,0,0,0,0.183
TFIDF_handl,4000,0.001,0.007,0,0,0,0.103
TFIDF_entri,4000,0.001,0.009,0,0,0,0.209
TFIDF_goe,4000,0.001,0.005,0,0,0,0.094
TFIDF_simpli,4000,0.001,0.008,0,0,0,0.256
TFIDF_that,4000,0.001,0.007,0,0,0,0.145
TFIDF_guess,4000,0.001,0.007,0,0,0,0.288
TFIDF_post,4000,0.002,0.014,0,0,0,0.254
TFIDF_detail,4000,0.001,0.009,0,0,0,0.199
TFIDF_rule,4000,0.001,0.009,0,0,0,0.219
TFIDF_own,4000,0.001,0.007,0,0,0,0.138
TFIDF_pretti,4000,0.001,0.007,0,0,0,0.108
TFIDF_job,4000,0.001,0.011,0,0,0,0.258
TFIDF_develop,4000,0.003,0.013,0,0,0,0.237
TFIDF_vari,4000,0,0.005,0,0,0,0.143
TFIDF_product,4000,0.003,0.014,0,0,0,0.188
TFIDF_level,4000,0.002,0.011,0,0,0,0.208
TFIDF_layout,4000,0.002,0.013,0,0,0,0.234
TFIDF_basic,4000,0.002,0.009,0,0,0,0.173
TFIDF_gui,4000,0.002,0.013,0,0,0,0.329
TFIDF_easi,4000,0.001,0.008,0,0,0,0.283
TFIDF_talk,4000,0.001,0.009,0,0,0,0.166
TFIDF_tab,4000,0.003,0.02,0,0,0,0.426
TFIDF_isnt,4000,0.001,0.007,0,0,0,0.129
TFIDF_exactli,4000,0.001,0.008,0,0,0,0.296
TFIDF_hidden,4000,0.001,0.006,0,0,0,0.117
TFIDF_advanc,4000,0,0.006,0,0,0,0.229
TFIDF_anywai,4000,0,0.005,0,0,0,0.137
TFIDF_touch,4000,0.001,0.011,0,0,0,0.227
TFIDF_configur,4000,0.001,0.009,0,0,0,0.318
TFIDF_drag,4000,0.001,0.009,0,0,0,0.205
TFIDF_empti,4000,0.001,0.009,0,0,0,0.285
TFIDF_column,4000,0.003,0.018,0,0,0,0.533
TFIDF_line,4000,0.002,0.01,0,0,0,0.273
TFIDF_duplic,4000,0.002,0.014,0,0,0,0.268
TFIDF_box,4000,0.003,0.013,0,0,0,0.191
TFIDF_horizont,4000,0.001,0.012,0,0,0,0.23
TFIDF_coupl,4000,0.001,0.005,0,0,0,0.136
TFIDF_dai,4000,0.002,0.011,0,0,0,0.212
TFIDF_modal,4000,0.001,0.01,0,0,0,0.262
TFIDF_obvious,4000,0.001,0.005,0,0,0,0.125
TFIDF_rememb,4000,0.001,0.007,0,0,0,0.184
TFIDF_plai,4000,0.001,0.009,0,0,0,0.203
TFIDF_singl,4000,0.002,0.009,0,0,0,0.204
TFIDF_toggl,4000,0.001,0.009,0,0,0,0.26
TFIDF_press,4000,0.001,0.007,0,0,0,0.154
TFIDF_video,4000,0.002,0.016,0,0,0,0.323
TFIDF_argument,4000,0.001,0.009,0,0,0,0.471
TFIDF_oper,4000,0.001,0.009,0,0,0,0.217
TFIDF_iphon,4000,0.002,0.016,0,0,0,0.375
TFIDF_close,4000,0.002,0.011,0,0,0,0.245
TFIDF_scenario,4000,0.001,0.007,0,0,0,0.156
TFIDF_advantag,4000,0.001,0.006,0,0,0,0.211
TFIDF_social,4000,0.001,0.013,0,0,0,0.364
TFIDF_ideal,4000,0.001,0.007,0,0,0,0.172
TFIDF_pro,4000,0.001,0.006,0,0,0,0.112
TFIDF_combin,4000,0.001,0.006,0,0,0,0.151
TFIDF_widget,4000,0.001,0.015,0,0,0,0.395
TFIDF_avail,4000,0.002,0.009,0,0,0,0.196
TFIDF_benefit,4000,0.001,0.007,0,0,0,0.175
TFIDF_minim,4000,0.001,0.007,0,0,0,0.167
TFIDF_activ,4000,0.001,0.012,0,0,0,0.298
TFIDF_short,4000,0.001,0.007,0,0,0,0.184
TFIDF_prevent,4000,0.001,0.006,0,0,0,0.165
TFIDF_enter,4000,0.002,0.012,0,0,0,0.249
TFIDF_structur,4000,0.001,0.01,0,0,0,0.279
TFIDF_phone,4000,0.002,0.013,0,0,0,0.235
TFIDF_event,4000,0.001,0.011,0,0,0,0.346
TFIDF_reach,4000,0,0.005,0,0,0,0.124
TFIDF_draw,4000,0.001,0.009,0,0,0,0.276
TFIDF_involv,4000,0.001,0.005,0,0,0,0.154
TFIDF_amount,4000,0.001,0.008,0,0,0,0.15
TFIDF_troubl,4000,0,0.005,0,0,0,0.156
TFIDF_maintain,4000,0,0.004,0,0,0,0.111
TFIDF_choos,4000,0.002,0.008,0,0,0,0.116
TFIDF_tooltip,4000,0.001,0.01,0,0,0,0.356
TFIDF_label,4000,0.002,0.015,0,0,0,0.355
TFIDF_commun,4000,0.001,0.008,0,0,0,0.195
TFIDF_info,4000,0.001,0.007,0,0,0,0.226
TFIDF_lead,4000,0.001,0.008,0,0,0,0.231
TFIDF_background,4000,0.001,0.01,0,0,0,0.265
TFIDF_android,4000,0.002,0.014,0,0,0,0.248
TFIDF_pop,4000,0.001,0.008,0,0,0,0.238
TFIDF_sort,4000,0.002,0.012,0,0,0,0.203
TFIDF_typic,4000,0.001,0.006,0,0,0,0.138
TFIDF_awar,4000,0.001,0.007,0,0,0,0.207
TFIDF_bring,4000,0,0.005,0,0,0,0.153
TFIDF_replac,4000,0.001,0.007,0,0,0,0.253
TFIDF_consider,4000,0,0.005,0,0,0,0.165
TFIDF_arent,4000,0.001,0.005,0,0,0,0.124
TFIDF_mention,4000,0.001,0.007,0,0,0,0.157
TFIDF_manual,4000,0,0.004,0,0,0,0.094
TFIDF_mode,4000,0.001,0.009,0,0,0,0.218
TFIDF_particular,4000,0.001,0.008,0,0,0,0.188
TFIDF_push,4000,0,0.005,0,0,0,0.122
TFIDF_final,4000,0.001,0.006,0,0,0,0.126
TFIDF_imagin,4000,0.001,0.005,0,0,0,0.089
TFIDF_plan,4000,0.001,0.008,0,0,0,0.268
TFIDF_rate,4000,0.001,0.014,0,0,0,0.464
TFIDF_introduc,4000,0,0.005,0,0,0,0.12
TFIDF_advic,4000,0.001,0.007,0,0,0,0.142
TFIDF_measur,4000,0.001,0.008,0,0,0,0.228
TFIDF_affect,4000,0.001,0.008,0,0,0,0.307
TFIDF_report,4000,0.001,0.012,0,0,0,0.287
TFIDF_regist,4000,0.001,0.01,0,0,0,0.216
TFIDF_document,4000,0.002,0.016,0,0,0,0.382
TFIDF_save,4000,0.002,0.014,0,0,0,0.328
TFIDF_step,4000,0.002,0.016,0,0,0,0.441
TFIDF_improv,4000,0.001,0.01,0,0,0,0.285
TFIDF_understand,4000,0.001,0.008,0,0,0,0.12
TFIDF_leav,4000,0.001,0.006,0,0,0,0.084
TFIDF_shown,4000,0.001,0.008,0,0,0,0.168
TFIDF_discuss,4000,0.001,0.009,0,0,0,0.255
TFIDF_familiar,4000,0.001,0.005,0,0,0,0.11
TFIDF_figur,4000,0.001,0.007,0,0,0,0.172
TFIDF_quick,4000,0.001,0.006,0,0,0,0.16
TFIDF_titl,4000,0.002,0.018,0,0,0,0.758
TFIDF_convent,4000,0.001,0.011,0,0,0,0.455
